year,pollutant_type,average_concentration,unit
2017,CO,0.6459,ppm
2018,CO,0.651666667,ppm
2019,CO,0.650083333,ppm
2020,CO,0.544916667,ppm
2021,CO,0.53375,ppm
2017,NO2,0.00788,ppm
2018,NO2,0.00765,ppm
2019,NO2,0.007191667,ppm
2020,NO2,0.005766667,ppm
2021,NO2,0.005691667,ppm
2017,O3,0.0164,ppm
2018,O3,0.01775,ppm
2019,O3,0.018833333,ppm
2020,O3,0.016166667,ppm
2021,O3,0.016166667,ppm
2017,PM 10,30.047,µg/m³
2018,PM 10,24.91916667,µg/m³
2019,PM 10,29.15916667,µg/m³
2020,PM 10,19.72583333,µg/m³
2021,PM 10,20.51333333,µg/m³
2017,PM 2.5,,µg/m³
2018,PM 2.5,16.25,µg/m³
2019,PM 2.5,20.48833333,µg/m³
2020,PM 2.5,12.2925,µg/m³
2021,PM 2.5,12.93916667,µg/m³
2017,SO2,0.0017,ppm
2018,SO2,0.001025,ppm
2019,SO2,0.001058333,ppm
2020,SO2,0.001025,ppm
2021,SO2,0.001116667,ppm
